Price	Living.Area	Bedrooms	Bathrooms	Fireplaces	Age
243305	2242	3	2.5	0	0
212846	2270	3	2.5	1	0
378465	3457	3	2.5	2	20
263408	1738	3	2	0	5
189654	1334	2	1.5	0	122
357384	2322	3	2.5	1	0
265515	1870	3	2.5	1	4
168497	1888	3	2	0	6
132088	1368	3	1	0	33
130518	1200	3	1.5	0	1
92519	1368	3	1	0	34
229761	2230	3	2.5	0	1
231298	1800	3	2.5	1	16
152822	1043	3	1	0	104
224888	1200	2	1	0	65
244124	2346	4	2.5	1	0
148989	792	3	1	0	36
236936	2300	3	2.5	1	16
261031	2280	4	2.5	1	24
246976	1652	3	1.5	1	4
120476	2238	3	1.5	1	114
168065	1016	2	2	0	41
173794	1970	4	2.5	1	18
213901	1680	3	2	1	27
217797	1386	2	1.5	0	92
171885	1550	2	2.5	1	16
286474	2058	4	2.5	1	26
174940	1126	3	2	1	46
261647	1850	4	2.5	1	16
138424	1673	3	1	1	27
148967	2208	3	2.5	1	17
200940	1116	3	2	0	38
234429	1470	3	2.5	0	3
476301	2986	4	2.5	1	12
333411	3356	4	2.5	1	6
247639	1016	2	2	0	41
122796	1612	3	1	1	34
279083	1908	3	2	1	16
177124	1064	2	1	1	77
160007	2078	4	1.5	0	33
154798	2470	4	2.5	1	26
373227	2058	2	1.5	1	49
122257	1400	3	1.5	0	17
165213	1664	3	3	0	10
128040	1488	3	2.5	1	1
120476	1120	3	2	0	7
64174	672	2	1	0	46
124492	1164	3	2	0	8
111534	1032	3	1	0	4
114590	1736	3	2	1	37
97783	1061	3	1	1	48
64552	1298	3	1	0	106
114238	1164	3	2	0	7
57678	924	1	1	0	104
89232	960	3	1	0	51
72189	1594	4	1.5	0	81
210081	2008	4	2.5	1	19
126049	1268	3	1	1	25
98790	1480	3	1.5	1	16
103408	1034	2	1.5	1	14
102806	1480	3	1.5	1	15
159843	1350	2	1.5	1	1
111353	1248	3	1.5	0	0
234954	2294	4	3.5	1	0
103256	1492	3	1.5	0	16
81580	1336	2	1.5	1	20
229180	2310	4	2.5	1	3
116882	1542	3	2.5	0	10
154238	1984	2	2.5	0	11
100839	1480	2	1.5	0	17
122257	1856	3	1.5	1	36
128040	1688	3	1	1	29
102806	1248	3	1	1	46
236055	2405	4	2.5	1	16
91672	1392	3	1.5	0	21
130757	1394	4	1	0	33
200793	1940	3	2	0	9
202836	2068	4	2.5	1	17
60238	1664	3	1.5	0	76
40932	1320	3	1	0	90
92519	1281	2	2.5	1	19
148692	1397	2	1.5	1	14
123910	1620	3	2.5	1	1
103258	1344	3	1.5	0	16
394532	3361	4	3.5	1	1
187104	2040	4	2.5	1	1
97476	1219	2	1.5	0	19
125562	1253	2	1.5	1	16
208048	1876	3	2.5	1	1
334556	3296	4	2.5	1	6
134933	1496	3	1	1	37
178140	2200	4	2.5	1	1
345364	3308	4	2.5	1	7
285500	3328	4	2.5	1	0
228904	1824	3	2.5	1	11
207018	2147	4	2.5	1	9
257015	2093	3	2.5	1	1
160635	1336	3	2	0	11
329221	2934	3	2.5	1	9
136499	1152	3	1	0	36
121279	1348	2	2.5	1	18
240952	2376	4	2.5	1	10
340545	2926	4	3	1	11
176846	2249	4	2.5	1	1
312448	2919	4	2.5	1	5
314912	3423	4	2.5	1	0
171885	1536	3	2.5	1	7
225742	2216	3	2.5	1	8
240639	2572	4	2.5	1	9
236742	2412	4	2.5	1	10
99311	1281	2	2.5	1	18
136192	1623	4	1.5	1	36
223266	2619	4	2.5	1	4
133215	1364	2	1.5	1	19
77650	1620	4	1.5	0	99
150505	1785	3	2.5	0	1
169343	1796	3	2.5	0	14
115566	1184	3	2	0	17
154528	1785	3	2.5	0	1
218184	2655	4	2.5	1	1
366772	3200	4	2.5	1	1
199990	2011	4	2.5	0	12
303599	3329	3	1.5	0	14
94774	1240	2	1.5	0	17
98389	1184	2	1.5	0	18
110115	1385	2	1.5	2	17
160349	1732	3	1.5	2	17
75094	728	2	1	0	22
152404	1508	3	2	1	16
154314	1466	3	1	1	62
99311	690	3	1	0	114
110770	911	2	1	0	114
157370	1656	3	1.5	1	19
148203	1782	3	1.5	0	36
85585	912	2	1.5	0	20
137606	1508	3	1.5	0	19
110889	1266	3	1	1	134
96004	912	2	1.5	0	18
119001	1506	3	1.5	1	24
74421	1928	4	2	1	134
145123	1536	3	2	0	6
163728	1811	3	2.5	1	19
193497	1948	3	2.5	1	13
73892	864	3	1.5	0	114
113367	1760	4	1.5	1	133
162984	1872	3	1.5	0	18
202800	2250	4	2.5	0	2
84291	924	3	1	0	15
98632	1406	2	1.5	0	19
155713	3535	4	3	2	39
146626	1561	3	1.5	0	18
92932	988	2	2	0	19
164419	1785	3	2.5	1	1
218184	2655	4	2.5	1	1
174208	2372	3	2	1	2
200713	2504	4	2.5	1	14
102003	1184	2	1.5	0	20
85939	1527	2	2	1	17
210672	1764	3	2.5	1	8
98389	1184	2	1.5	0	18
102806	1168	3	2	0	21
111239	912	2	1.5	0	20
100397	912	2	1.5	0	18
117703	1492	3	2.5	1	17
152786	1508	3	2	1	20
87852	1270	3	1	0	110
180670	2310	4	2.5	1	31
55817	1688	5	2	0	119
230708	2548	3	2.5	1	3
93846	1385	2	1.5	0	17
243276	3271	4	2.5	1	1
226304	1921	3	2	1	0
119784	1560	2	1	0	25
108478	1840	3	1	0	8
154696	1704	3	2.5	1	17
198622	1971	4	2.5	0	11
167776	3106	4	2.5	0	8
84291	924	3	1	0	15
126436	1216	3	1	1	51
129609	1635	4	1.5	0	52
137127	1892	3	2	2	26
277235	2950	4	2.5	1	1
209555	2539	4	2.5	0	1
101193	1375	2	1.5	1	21
104084	1302	2	1.5	1	17
99045	937	2	1	0	19
334556	3376	4	2.5	1	7
186605	2328	3	2.5	1	1
210646	1994	3	2	1	49
230414	2623	4	2.5	1	0
208253	2602	4	2.5	1	1
104084	1480	3	1.5	0	19
94584	924	2	1	1	19
233155	3236	4	2.5	1	0
227994	1973	3	2.5	1	3
115649	1422	3	1.5	0	20
137044	1352	2	1.5	0	11
261846	2772	4	2.5	1	0
168739	1620	3	2	0	0
236936	2500	4	2.5	1	11
197581	1702	3	1.5	1	16
297174	2748	4	2.5	1	3
155414	2310	4	2.5	1	38
141760	1740	3	1.5	0	36
214367	2500	4	2.5	1	0
146981	1832	3	1.5	1	30
268260	2657	4	2.5	1	15
69876	976	2	2	0	21
143768	1612	3	1.5	1	37
130917	1456	3	1	1	23
187701	1992	4	2.5	1	30
240872	2348	4	2.5	1	7
206415	2676	4	2.5	1	34
191790	2304	4	2.5	1	0
312434	3440	4	2.5	1	3
217226	2593	4	2.5	1	0
176618	2162	4	2.5	1	19
152786	1578	3	2.5	1	11
190983	2088	4	2.5	1	22
99082	924	2	1	1	20
148585	1734	4	1.5	1	34
129868	1792	2	2.5	1	24
304045	2960	4	2.5	1	8
265848	2993	4	2.5	1	15
187087	2027	3	2.5	1	15
220776	2421	4	2.5	2	13
161190	1758	4	2	1	26
184108	2702	5	1.5	1	31
179524	2600	4	2.5	1	18
244382	2572	4	2.5	1	6
213137	2498	5	2.5	1	36
244441	2396	3	2.5	1	5
263938	2641	4	2.5	1	3
271578	3123	4	2.5	1	14
119937	2028	3	2	1	27
504119	3721	5	2.5	1	14
140945	1873	4	2.5	1	32
236819	2608	4	2.5	1	4
91672	929	2	1.5	0	21
93200	924	2	1	1	19
118409	1227	2	2	1	19
180288	2294	5	2.5	1	36
87852	976	2	2	0	23
237583	2762	4	2.5	1	17
357138	2618	3	1.5	1	1
198622	2024	3	2	2	25
148967	1864	3	1.5	1	154
133688	1780	2	2.5	0	25
156530	1734	4	2.5	1	29
178760	2014	3	1.5	1	32
103633	1314	2	1.5	0	21
182334	2262	4	2.5	1	24
204661	1927	3	2	1	3
74422	2708	4	2	0	21
161496	1910	4	2.5	0	20
89306	1480	3	1.5	0	19
152491	1875	4	2.5	1	31
160007	1665	4	2	1	27
212103	2170	3	2.5	1	3
171171	1822	3	1.5	0	12
171171	1784	3	1.5	0	104
162612	1348	2	2	1	11
95260	1480	3	1.5	1	15
130239	1052	2	1.5	1	15
125029	1836	3	2	0	27
137681	1728	4	1.5	0	12
175084	2214	3	2.5	1	22
328491	2733	4	2.5	1	3
282655	2931	4	3.5	1	12
292524	2900	4	2.5	1	1
140658	2254	4	1.5	1	31
215824	2056	4	2.5	1	2
165957	1212	2	1	1	87
177998	2564	4	2.5	1	34
260887	2176	3	2	1	36
325262	3496	4	2.5	1	7
114827	1332	3	1	1	45
96958	1244	4	1.5	0	53
104339	1290	3	2	0	16
146609	1989	4	1.5	1	104
150798	1212	3	1.5	0	6
207347	2119	4	2.5	1	14
199900	1808	2	1.5	1	6
133199	1716	4	2	1	4
167253	1872	3	2	1	16
97682	1548	3	1.5	0	85
79170	1536	3	2	0	105
112877	1380	3	1	0	3
78191	1080	3	2	0	15
110738	1800	3	1.5	0	83
101227	1754	4	1	0	110
69463	1170	2	1	0	110
167319	2088	3	2	1	2
151950	1890	4	2	1	30
188497	1742	3	2.5	1	5
108002	1544	3	2	0	72
104371	1463	3	1.5	0	125
69814	840	1	1	1	57
116938	988	3	1	0	10
200791	1680	3	2.5	1	4
162631	1804	3	2.5	1	2
166222	1498	3	1.5	0	10
146978	1656	3	1.5	1	18
156820	1720	3	2	1	27
170534	1820	3	2.5	1	18
209371	2076	3	2.5	1	13
153590	1820	4	1.5	1	45
124585	1468	4	1	0	51
122044	1637	3	1.5	0	54
224668	2526	4	2.5	1	1
116589	1322	3	1	0	63
179572	1736	3	1.5	1	17
190444	1836	3	2	1	0
213249	1643	3	2.5	1	3
181399	1842	3	1.5	0	8
193565	2167	3	2.5	1	8
148231	1475	3	1.5	0	21
337918	3026	4	4	1	1
124669	1092	3	1.5	0	35
167975	2311	4	2.5	1	20
90446	1256	3	1.5	0	19
101230	1040	3	1	0	12
91386	1120	3	1	0	14
149078	1664	3	1.5	0	14
121973	2268	3	1	0	25
123827	1302	3	2	0	35
109259	1239	3	1	1	33
473938	780	2	1.5	0	55
107766	1272	3	1	1	43
578856	2472	3	2.5	1	6
191746	1666	3	1	0	140
146161	984	3	1	1	41
140238	1322	3	1	0	130
506149	2586	4	3	1	3
107513	1008	3	1	0	38
157430	1092	3	1	1	41
330219	2576	3	2.5	1	31
432845	3250	3	2.5	2	23
240857	1445	3	1.5	1	17
251259	1932	3	2	1	0
169647	1430	3	2.5	0	5
205950	1474	3	2	1	29
338596	1908	4	3.5	1	17
268783	2329	5	2	0	72
118585	936	3	1	0	35
113740	1920	3	1	1	34
257499	1675	2	2.5	1	18
152466	1600	4	2	0	35
114519	1428	3	2	0	85
247839	1536	3	1.5	1	66
181516	1924	3	2	0	16
138914	1576	3	1.5	0	18
108421	1288	3	1	0	32
107411	840	2	1	0	2
166019	1110	3	1	1	115
93174	784	1	1	0	44
599701	5114	5	4.5	2	131
231749	1980	3	2	0	6
137220	1290	3	1.5	1	16
279522	2000	3	2.5	1	4
250723	2490	4	2.5	1	4
452745	1764	4	2.5	1	85
142057	952	3	1	0	102
111546	1560	3	1	0	31
262461	2932	4	2.5	1	31
492114	2563	4	2	0	55
298549	2310	2	3	1	23
156164	1792	3	2.5	0	6
183657	1250	4	1.5	0	43
160692	1500	2	2	1	18
147634	864	3	1.5	0	39
236215	1392	3	2.5	0	4
109249	812	2	1	0	115
139104	1760	4	3	0	135
104328	898	2	1	1	57
104984	1096	3	1	0	67
90446	1200	3	2	0	10
142420	2016	3	1.5	0	16
52360	1310	4	1.5	0	120
113796	960	3	1	0	40
104267	1056	3	1	0	47
129427	1512	3	2	0	16
151950	1890	3	2.5	0	27
172789	1812	3	2	1	16
135526	1952	4	2.5	1	31
148401	1856	3	1.5	1	37
65615	924	3	1	0	39
283851	2346	4	2.5	0	1
130782	1274	3	1.5	0	14
135526	1420	3	1.5	0	13
184315	2296	4	2.5	0	19
146329	2026	4	2.5	1	1
55851	990	2	1.5	0	75
111809	1711	3	1	0	112
88092	3944	4	1	2	185
26049	1344	3	2	0	13
111702	878	2	1	0	28
232989	2248	4	2.5	1	7
235620	2107	2	1	1	1
119389	1364	2	1.5	1	20
112153	1270	3	1.5	1	18
202527	2120	4	2.5	1	9
150502	1668	3	2	1	18
188497	2110	3	2.5	1	9
129155	1242	2	2	1	3
117287	1040	3	1	0	39
209371	2084	3	2.5	2	5
99903	1360	2	1	0	79
205950	2024	4	2.5	1	10
127055	1019	2	1.5	0	16
311709	3028	5	2.5	1	0
142302	1242	2	2	1	2
177539	1528	3	2.5	0	8
277828	2988	5	2.5	1	9
196512	1428	3	2	1	20
104984	1144	3	1.5	1	44
157411	1666	3	2.5	0	2
202751	2202	4	2.5	1	6
104984	1184	3	2	0	21
155929	2601	4	2.5	1	19
226705	2510	4	2.5	1	1
271339	3056	5	2.5	1	6
126082	1592	3	1.5	1	18
113600	1240	3	2	0	18
104556	1673	2	2	0	18
167145	1852	4	2.5	0	16
106365	1184	3	2	1	20
238951	2641	4	3	1	1
116589	1184	3	2	0	18
170345	1952	4	2	1	33
218517	2038	3	2.5	1	13
97739	1276	2	2	1	26
105035	908	2	1	0	21
233876	2434	4	2.5	1	20
104651	912	2	1.5	1	19
212932	2494	3	2.5	1	13
278906	2960	4	2.5	1	1
160571	1294	3	1.5	1	17
184315	2152	3	2.5	0	8
100967	988	2	1	0	20
220261	2712	4	2.5	0	1
189665	2203	3	2.5	1	1
240590	3001	4	2.5	1	1
169407	2310	4	2.5	1	33
127394	2040	5	2.5	0	127
222576	3144	4	2.5	1	1
200510	1806	4	2	0	40
155787	1540	3	1.5	0	16
186348	2011	4	2.5	1	14
217868	3344	4	3.5	1	1
208635	2714	4	3	0	1
82019	1518	3	1	0	130
183066	1836	3	2.5	0	9
236215	2066	3	2.5	1	2
150849	1423	3	1.5	1	9
178216	1512	3	2	1	12
196846	2144	3	2.5	1	19
135167	1610	3	2	0	17
65550	1196	4	1.5	0	56
143697	1376	3	1.5	1	14
112153	1834	4	2	0	65
163310	1720	3	1.5	0	19
117907	1295	3	1.5	0	125
49211	800	2	1	0	55
187003	1868	3	2.5	1	13
135823	1946	4	1.5	0	18
113514	1142	2	2	1	40
102530	1202	2	1.5	0	18
75975	1300	3	2	1	227
128434	1508	3	1.5	1	19
185487	2271	3	2.5	1	1
126082	1592	3	1.5	1	18
98333	912	2	1.5	0	18
104556	1673	2	2	0	18
157081	2310	4	2.5	1	33
92852	912	2	1.5	0	20
238951	2641	4	3	1	1
242952	1708	2	2	1	14
75399	988	2	1	0	20
220765	2058	3	2.5	1	1
163992	2310	4	2.5	1	33
233876	2434	4	2.5	1	20
160571	1612	3	2	1	15
251699	3081	4	2.5	1	1
102626	1227	3	1	1	115
203478	2762	4	3	1	1
354739	3982	4	4.5	1	6
184654	2212	4	2.5	1	18
125361	1173	3	1	1	16
237062	2604	4	2.5	1	0
155787	1540	3	1.5	0	16
236829	2472	4	3.5	1	0
107743	1184	2	1.5	0	18
210743	2120	3	2.5	0	10
216841	2472	3	2.5	1	0
118517	1592	3	1.5	0	18
116795	1404	3	1.5	1	28
158789	3344	4	2.5	1	0
200126	1690	3	2.5	1	5
178216	1512	3	2	1	12
101375	1820	4	1.5	0	35
103672	1476	3	2	0	6
110234	1652	3	1.5	1	105
206931	2331	4	2.5	1	1
89893	960	2	1	0	48
31113	1540	2	1	0	115
59043	1668	4	1.5	0	115
94064	912	3	1	0	37
50483	743	3	1	0	105
253433	3021	4	2.5	1	21
144335	1274	3	2	1	20
54210	792	2	1	0	55
93895	960	3	1	0	48
130574	1600	3	1	0	57
94486	1150	3	1	0	45
109577	1456	3	1.5	0	155
253973	2464	4	2.5	2	2
326330	1326	3	1	0	52
284154	2808	4	2.5	1	1
115771	1479	3	1.5	0	17
201876	2498	4	2.5	1	38
99491	1064	3	1	0	45
151950	1792	3	2	1	17
278936	3121	4	3	1	0
101230	1032	2	1	1	23
223055	2668	4	2.5	1	0
237716	2996	4	2.5	1	1
180817	1815	3	2.5	1	11
101230	1281	2	1	0	8
